Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,
,3,960,960,,
,0,961,961,,
,2,962,962,,
,3,963,963,,
,1,964,964,,
,3,965,965,,
,2,966,966,,
,0,967,967,,
,0,968,968,,
,1,969,969,,
,0,970,970,,
,2,971,971,,
,0,972,972,,
,2,973,973,,
,2,974,974,,
,0,975,975,,
,1,976,976,,
,1,977,977,,
,2,978,978,,
,2,979,979,,
,1,980,980,,
,2,981,981,,
,2,982,982,,
,1,983,983,,
,1,984,984,,
,2,985,985,,
,1,986,986,,
,3,987,987,,
,3,988,988,,
,3,989,989,,
,3,990,990,,
,3,991,991,,
,0,992,992,,
,1,993,993,,
,0,994,994,,
,0,995,995,,
,1,996,996,,
,2,997,997,,
,1,998,998,,
,0,999,999,,
,3,1000,1000,,
,1,1001,1001,,
,2,1002,1002,,
,1,1003,1003,,
,1,1004,1004,,
,1,1005,1005,,
,2,1006,1006,,
,0,1007,1007,,
,1,1008,1008,,
,0,1009,1009,,
,1,1010,1010,,
,2,1011,1011,,
,1,1012,1012,,
,1,1013,1013,,
,0,1014,1014,,
,1,1015,1015,,
,1,1016,1016,,
,1,1017,1017,,
,0,1018,1018,,
,1,1019,1019,,
,2,1020,1020,,
,2,1021,1021,,
,0,1022,1022,,
,1,1023,1023,,
,2,1024,1024,,
,1,1025,1025,,
,0,1026,1026,,
,3,1027,1027,,
,1,1028,1028,,
,1,1029,1029,,
,0,1030,1030,,
,1,1031,1031,,
,1,1032,1032,,
,2,1033,1033,,
,1,1034,1034,,
,3,1035,1035,,
,0,1036,1036,,
,5,1037,1037,,
,1,1038,1038,,
,2,1039,1039,,
,2,1040,1040,,
,2,1041,1041,,
,2,1042,1042,,
,1,1043,1043,,
,2,1044,1044,,
,0,1045,1045,,
,1,1046,1046,,
,1,1047,1047,,
,0,1048,1048,,
,1,1049,1049,,
,0,1050,1050,,
,1,1051,1051,,
,3,1052,1052,,
,2,1053,1053,,
,0,1054,1054,,
,3,1055,1055,,
,0,1056,1056,,
,1,1057,1057,,
,1,1058,1058,,
,2,1059,1059,,
,0,1060,1060,,
,1,1061,1061,,
,4,1062,1062,,
,2,1063,1063,,
,2,1064,1064,,
,1,1065,1065,,
,1,1066,1066,,
,1,1067,1067,,
,0,1068,1068,,
,2,1069,1069,,
,3,1070,1070,,
,1,1071,1071,,
,3,1072,1072,,
,2,1073,1073,,
,2,1074,1074,,
,3,1075,1075,,
,2,1076,1076,,
,1,1077,1077,,
,2,1078,1078,,
,3,1079,1079,,
,3,1080,1080,,
,3,1081,1081,,
,1,1082,1082,,
,1,1083,1083,,
,3,1084,1084,,
,2,1085,1085,,
,2,1086,1086,,
,2,1087,1087,,
,2,1088,1088,,
,0,1089,1089,,
,0,1090,1090,,
,2,1091,1091,,
,3,1092,1092,,
,1,1093,1093,,
,0,1094,1094,,
,3,1095,1095,,
,1,1096,1096,,
,2,1097,1097,,
